ID	exact.mass
NADP+ [M+Na-3H]	764.0472
PE 38:5 (putative)	764.5228
PC O-32:0 (putative)	764.5797
SM 18:1 (putative)	765.5677
NADPH [M+Na-2H]	766.0626
PC 32:1 (putative)	766.5154
PE 38:4 (putative)	766.5384
PG (putative)	767.4869
FA 18:0 (putative)	767.5834
PS P-36:4 (putative)	768.521
PC 32:0 (putative)	768.531
PE 38:3 (putative)	768.557
PG (putative)	769.5012
PS 35:3 (putative)	770.4987
PS P-36:2 (putative)	770.532
PE 38:2 (putative)	770.566
FA 18:1 (putative)	770.5788
FA 18:1 (putative)	770.9239
PG (putative)	771.5191
FA 18:0 (putative)	771.9309
PE O-40:8 (putative)	772.5282
PS P-36:2 (putative)	772.549
PE 38:1 (putative)	772.585
FA 18:0 (putative)	772.5944
PG (putative)	773.5338
SM 36:2 (putative)	773.5814
Cardiolipin CL(76:9) (putative)	774.4944
PC 32:2 (putative)	774.5281
PE O-40:7 (putative)	774.5437
Cardiolipin CL(76:8) (putative)	775.5022
PG (putative)	775.5495
SM 36:1 (putative)	775.5971
PE 39:6 (putative)	776.522
PC 32:1 (putative)	776.5436
PE O-40:6 (putative)	776.5594
PG 36:0 (putative)	777.565
ST 18:1 (putative)	778.514
PE 39:5 (putative)	778.538
PC 32:0 (putative)	778.5604
PE O-40:5 (putative)	778.5755
Cardiolipin CL(80:8) [M-2H]2- (putative)	779.5414
PC (putative)	779.5742
FA 16:0 (putative)	780.5296
PC O-34:0 (putative)	780.5674
PS 36:4 (putative)	782.496
PS 36:3 (putative)	784.513
Cardiolipin CL(74:8) (putative)	785.4789
FA 18:0 (putative)	785.9444
PS 36:2 (putative)	786.528
PC O-34:3 (putative)	786.5646
PC 33:2 (putative)	788.5443
PC O-34:2 (putative)	788.5808
Cardiolipin CL(76:10) (putative)	789.4815
Cardiolipin CL(76:9) (putative)	790.4893
PE 40:6 (putative)	790.5392
PC O-34:1 (putative)	790.5949
PG 38:7 (putative)	791.485
PC 34:2 (putative)	792.531
PE 40:5 (putative)	792.555
PG (putative)	793.5025
PC 34:1 (putative)	794.5454
PE 40:4 (putative)	794.571
PG (putative)	795.5182
PS P-38:4 (putative)	796.547
PG (putative)	797.5338
PC 34:4 (putative)	798.5273
PG 38:3 (putative)	799.547
PC 34:3 (putative)	800.5433
HexCer 38:1-O2	800.6254
PG 38:2 (putative)	801.564
PC 34:2 (putative)	802.5609
1,2-Diphytanoyl-sn-glycero-3-phophoethanolamine	802.6331
ST 36:2 (putative)	804.53
PC 34:1 (putative)	804.5758
PS (putative)	806.4978
ST 36:1 (putative)	806.545
PC O-36:2 (putative)	806.583
PC 34:0 (putative)	806.5911
GlcCer 43:1 (putative)	806.7036
PI (putative)	807.5027
Acetyl-CoA	808.1185
PI 32:0 (putative)	809.514
PS (putative)	810.5283
Eicosapentaenoyl PAF C-16	810.5652
PC 35:4 (putative)	812.5438
Arachidonoyl PAF C-16	812.5809
FA 24:1 (putative)	813.9779
PS 38:2 (putative)	814.558
PC O-36:3 (putative)	814.5947
PG (putative)	815.4864
PC 36:4 (putative)	816.531
PC 35:2 (putative)	816.5747
PC O-36:2 (putative)	816.6114
PG (putative)	817.5025
PC 36:3 (putative)	818.5467
PS O-39:0 (putative)	818.626
PG (putative)	819.5182
SM 18:1 (putative)	819.6147
ST 18:1 (putative)	820.524
PC 36:2 (putative)	820.5612
2_-Deoxyadenosine 5_-diphosphate 2M-H	821.0534
PG (putative)	821.5338
PI 34:1 (putative)	821.545
SM 18:1 (putative)	821.6303
PC 36:6 (putative)	822.5289
ST 18:1 (putative)	822.54
PC 36:1 (putative)	822.578
PG (putative)	823.5495
FA 22:0 (putative)	823.646
PC 36:5 (putative)	824.5433
PS P-40:4 (putative)	824.581
PG (putative)	825.5651
PC 36:4 (putative)	826.5587
PS 39:3 (putative)	826.563
PI 15:0 (putative)	828.5625
PC 36:3 (putative)	828.5737
HexCer 40:1-O2	828.6566
PC 36:2 (putative)	830.5916
PI (putative)	831.5029
FA 16:0 (putative)	831.9519
PC 36:1 (putative)	832.6069
PI (putative)	833.5186
PS (putative)	834.5291
PC O-38:7 (putative)	834.5637
ST 38:1 (putative)	834.576
PC 36:0 (putative)	834.623
PI (putative)	835.5348
SM 18:1 (putative)	835.646
PS (putative)	836.5441
Docosahexaenoyl PAF C-16	836.5808
PS (putative)	838.5592
PC O-38:5 (putative)	838.5955
PC O-38:4 (putative)	840.611
PI P-33:2 (putative)	841.501
PC 38:5 (putative)	842.5467
PC 37:3 (putative)	842.5911
PG 42:9 (putative)	843.515
PC 38:4 (putative)	844.5623
PC 37:2 (putative)	844.6066
PI O-23:0 (putative)	845.532
SM 18:1 (putative)	845.6303
PS O-41:0 (putative)	846.658
PG 42:7 (putative)	847.546
SM 18:1 (putative)	847.646
PC 38:7 (putative)	848.5438
PI 25:1 (putative)	849.552
FA 24:1 (putative)	849.6616
Acetoacetyl-CoA	850.1293
FA 12:0 (putative)	850.5533
PC 38:6 (putative)	850.5593
ST 18:1 (putative)	850.571
Malonyl-CoA	852.1083
PC 38:5 (putative)	852.5745
PC 38:4 (putative)	854.5904
PI (putative)	855.5029
PC 38:3 (putative)	856.6069
PI (putative)	857.518
PC 38:2 (putative)	858.622
PI (putative)	859.5333
SM 42:1 (putative)	859.691
PI (putative)	861.5502
PS (putative)	862.5604
ST 40:1 (putative)	862.608
PI (putative)	863.5649
PC 39:6 (putative)	864.575
